2.9711,1.1075,1
3.0576,2.4949,1
1.4904,0.4292,2
2.4592,2.5053,1
0.9566,0.7918,2
1.0158,1.1381,2
1.7992,0.1956,2
3.0121,3.1705,1
1.4926,2.3330,0
0.3324,0.2858,2
0.9748,3.0711,0
0.7444,2.9199,0
3.4219,2.4330,1
2.8229,1.8932,1
3.3044,0.8904,1
3.0080,3.0206,1
1.5516,0.6106,2
0.6728,3.4896,0
0.0970,0.1532,2
3.4681,1.8643,1
1.4006,2.4650,0
1.1954,0.6986,2
1.0422,1.7133,0
0.6728,2.5286,0
0.6270,1.7397,0
1.2035,0.6137,2
0.9764,3.3590,0
0.1710,0.5426,2
3.2001,2.5758,1
0.7135,2.6556,0
0.0339,0.2881,2
2.5951,1.2035,1
3.4559,1.3854,1
3.0523,2.6388,1
0.4959,0.6716,2
1.7561,0.6105,2
1.0023,1.3935,2
0.9705,3.1996,0
3.0312,3.0253,1
0.0184,3.0309,0
2.0345,1.3824,1
0.0822,3.2204,0
1.0392,0.1310,2
1.4645,2.9058,0
2.9604,2.8026,1
1.1260,0.9986,2
1.2744,3.3767,0
1.5283,3.0217,0
0.3368,3.0106,0
0.5950,0.9696,2
3.2057,2.7547,1
0.2879,3.1219,0
0.6079,0.2718,2
1.3068,2.0913,0
0.8047,2.4971,0
2.4345,1.1866,1
0.6234,2.2801,0
3.1130,1.5079,1
2.9430,0.6423,1
1.0221,2.3662,0
0.4322,2.0231,0
2.2371,2.3001,1
3.0701,1.4460,1
2.1944,1.9473,1
3.3668,2.1246,1
1.1870,1.8202,0
0.9688,1.3233,2
0.2798,2.4630,0
